ax_mean,ax_std,ax_min,ax_max,ax_energy,ay_mean,ay_std,ay_min,ay_max,ay_energy,az_mean,az_std,az_min,az_max,az_energy,gx_mean,gx_std,gx_min,gx_max,gx_energy,gy_mean,gy_std,gy_min,gy_max,gy_energy,gz_mean,gz_std,gz_min,gz_max,gz_energy,sma,label
-177.02,71.63727448387039,-392,100,36442.32,-123.16,102.52105752566595,-384,332,25626.4,15170.68,150.0183492964382,14800,15584,230171924.6,-167.83,229.06629594878964,-788,900,80375.92,1.935,47.87243072077683,-139,121,2284.055,-208.37,32.46355668380799,-340,-27,44466.67,5162.606666666667,0
-159.46,66.72186625976472,-316,100,29857.04,-86.42,95.20094378992502,-292,332,16486.32,15163.06,133.6353562580317,14660,15476,229936157.7,-229.105,162.4549229322541,-659,198,78748.745,13.765,38.78998698700814,-97,121,1686.615,-204.65,29.078260369744495,-340,-47,42722.94,5143.3133333333335,0
-161.04,63.68293319170763,-320,8,29969.12,-136.36,111.53542556416278,-396,132,30972,15163.56,140.70592448766914,14660,15552,229953251,-229.45,166.76302658316044,-579,251,80318.16,15.985,37.756490007526416,-100,117,1673.945,-207.8,27.030040983651677,-331,-134,43907.81,5157.84,0
-170.32,65.59735256,-364,8,33290.4,-246.04,122.36594921643109,-560,348,75434.24,15160.4,144.9810245771397,14768,15772,229858642.6,-214.62,218.38694992947148,-1140,539,93516.14,14.24,47.37917613950554,-157,187,2436.34,-208.3,29.848697184602386,-331,-93,44275.38,5193.706666666667,0
-189.34,64.60801325597639,-368,-24,40002.96,-384.1,160.4012243214468,-756,348,173132.72,15170.24,155.24680431898196,14792,15904,230160162.7,-164.725,256.51573242181365,-1140,563,92605.645,1.595,54.226965561147246,-157,187,2928.405,-206.765,29.537128921488343,-271,-93,43619.845,5249.213333333333,0
-187.76,89.21738118510113,-368,144,43173.76,-487.04,143.39248734552197,-756,-32,257666.56,15162.72,151.14265483493654,14792,15904,229930807.7,-158.88,221.50679878854226,-977,608,74062.79,-6.485,50.41605566029247,-180,109,2571.125,-207.69,33.69779826695211,-367,-50,44265,5281.573333333334,0
232.24,525.5312530092261,-500,2092,328737.6,-768.1,448.6396075776605,-1884,132,790248.72,15126.28,269.12387463675066,13764,16700,228876412.2,-252.015,407.2192682538315,-2177,2740,228509.955,6.21,194.4424470791567,-429,1880,37657.39,-227.72,151.27850983430676,-1129,388,74627.16,5439.806666666666,0
328.2,450.8546434802892,-500,2092,309968.8,-978,353.8555478492864,-1884,132,1081071.68,15119.08,261.51924437004516,13764,16700,228654630.4,-249.43,395.60676010808515,-2177,2740,217937.51,10.825,192.52966716507217,-429,1880,36999.515,-228.255,151.89800854520774,-1129,388,75057.985,5484.106666666667,0
-8.62,67.28037488,-176,180,4578.32,-1022.32,139.42558974369405,-1348,-740,1064480.48,15142.88,106.67767447388314,14796,15452,229318137.9,-197.725,101.43279764053602,-483,57,49332.345,7.89,32.48715091962316,-101,101,1112.39,-211.085,51.87739484088794,-439,20,47234.685,5406.433333333333,0
-63.88,79.65645834948927,-404,180,10394.08,-1215.46,141.09389011982668,-1560,-860,1497150.96,15135.54,133.5066610424872,14496,15768,229102306,-213.975,121.49555640487702,-1089,71,60472.665,11.06,38.69668678115991,-123,193,1612.27,-206.63,61.170846506416424,-439,50,46419.12,5477.96,0
-100.46,79.35638334683257,-404,180,16358.16,-1345.2,125.57758017741894,-1652,-780,1825253.92,15120.14,143.28486719060442,14496,15768,228639061.5,-216.99,128.36106385336575,-1089,204,63478.84,11.16,36.639687958119154,-123,193,1460.3,-199.52,55.730143048633074,-396,50,42898.55,5525.093333333333,0
